timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777284068176,1,POST /async-tasks/roadmaps/{roadMapId}/bulk-roadmap-items,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,10,10,http://localhost:8080/api/async-tasks/roadmaps/1/bulk-roadmap-items,0,0,1
1777284068177,0,GET /tags/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-8,text,false,,2293,0,10,10,http://localhost:8080/api/tags/1,0,0,0
1777284068186,1,GET /users/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-7,text,false,,2293,0,10,10,http://localhost:8080/api/users/1,0,0,1
1777284068186,1,POST /roadmap-items/bulk/transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/transactional/1,0,0,1
1777284068186,1,GET /roadmap-items/search/jpql?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/jpql?status=PLANNED,0,0,1
1777284068191,0,POST /roadmap-items/bulk/non-transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/non-transactional/1,0,0,0
1777284068192,0,GET /roadmap-items/search/jpql?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/jpql?status=PLANNED,0,0,0
1777284068223,0,POST /transactions/with-transactional,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-10,text,false,,2293,0,10,10,http://localhost:8080/api/transactions/with-transactional,0,0,0
1777284068278,0,POST /transactions/without-transactional,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-9,text,false,,2293,0,10,10,http://localhost:8080/api/transactions/without-transactional,0,0,0
1777284068279,0,POST /roadmap-items/bulk/transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-6,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/transactional/1,0,0,0
